X,Y,OBJECTID,EoICode,StationNam,Longitude,Latitude,Altitude,StationTyp,StationAre,avg15
8.87658000102625,62.7824600004116,137,NO0039R,Kĺrvatn,8.87658,62.78246,210,background,rural-regional,1.512005
11.0740700008169,60.372880000551,138,NO0056R,Hurdal25,11.07407,60.37288,280,background,rural-regional,2.752935
22.0380560009554,54.1248190001042,139,PL0005R,KMS Puszcza Borecka,22.038056,54.124819,157,background,rural,12.482206
19.4587970000927,50.7108890008328,140,PL0243A,"Zloty Potok, Lesniczówka",19.458797,50.710889,291,background,rural,18.470833
15.4317189995968,51.3176300000897,141,PL0505A,Osieczów,15.431719,51.31763,179,background,rural,14.53796
-8.89166700050884,39.9238890011805,142,PT02019,Ervedeira,-8.891667,39.923889,60,background,rural,7.347346
-7.30194400017068,40.2330560010621,143,PT02020,Fundăo,-7.301944,40.233056,473,background,rural,5.618682
-8.46611100072467,39.3525000007527,144,PT03096,Chamusca,-8.466111,39.3525,143,background,rural,10.51776
-8.69055599972664,38.6355560004149,145,PT03099,Fernando Pó,-8.690556,38.635556,57,background,rural,11.822876
-7.39749999961156,38.615000000674,146,PT04006,Terena,-7.3975,38.615,187,background,rural,12.341719
-7.67861099982368,37.3125000002746,147,PT05012,Cerro,-7.678611,37.3125,300,background,rural,6.654075
26.1166667901761,44.616664890051,148,RO0072A,B8 Balotesti,26.116667,44.616665,30,background,rural,18.895706
26.0387390001891,43.9638140001072,149,RO0210A,GR-4,26.038739,43.963814,20,background,rural,13.13879
14.8580599993181,45.5610700002426,150,SI0008R,Iskrba,14.85806,45.56107,540,background,rural,10.032877
20.291116710143,49.152778630298,151,SK0004R,Stara Lesna - AU SAV EMEP/O3,20.291117,49.152779,808,background,rural,10.67064
16.7666670005356,47.7666670015463,152,X_AT0002R,Illmitz,16.766667,47.766667,117,background,rural,14.702786
12.9338600000764,51.5301400013972,153,X_DE0044R,Melpitz,12.93386,51.53014,86,background,rural,14.731795
24.2372222220319,68.0000000004209,154,X_FI0036R,Pallas (Matorova),24.237222,68,340,background,rural,3.427191
4.63333299967956,49.9000000012852,155,X_FR0009R,Revin,4.633333,49.9,390,background,rural,14.76596
5.27897222231552,44.5694444446463,156,X_FR0023R,Saint-Nazaire-le-Désert,5.278972,44.569444,605,background,rural,6.179576
19.5833330000439,46.9666670012366,157,X_HU0002R,K-puszta,19.583333,46.966667,125,background,rural,17.358067
